año, aerolinea, vuelos_totales, nada, tiempo_atrasado_promedio_arribo, atrasos_totales_arribo, tiempo_atrasado_promedio_salida, atrasos_totales_salida,  CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, "AA", 653919, 1, 47.34659, 96823, 49.64910, 14662, 0, 0, 0, 0, 0
1998, "AS", 152220, 1, 37.93482, 29352, 41.37844, 3510, 0, 0, 0, 0, 0
1998, "CO", 399273, 1, 50.47003, 62966, 54.02005, 7262, 0, 0, 0, 0, 0
1998, "DL", 915095, 1, 40.78522, 122452, 49.37339, 16925, 0, 0, 0, 0, 0
1998, "HP", 203071, 1, 49.19358, 49211, 53.96730, 4479, 0, 0, 0, 0, 0
1998, "NW", 527512, 1, 38.48230, 131659, 39.86741, 44270, 0, 0, 0, 0, 0
1998, "TW", 274073, 1, 48.80954, 48915, 50.27684, 6563, 0, 0, 0, 0, 0
1998, "UA", 748459, 1, 48.92472, 155976, 50.44193, 20684, 0, 0, 0, 0, 0
1998, "US", 696030, 1, 41.24325, 117616, 42.18363, 17214, 0, 0, 0, 0, 0
1998, "WN", 815069, 1, 41.91209, 151183, 41.65363, 8940, 0, 0, 0, 0, 0
1999, "AA", 692653, 1, 46.61610, 137332, 48.17922, 28960, 0, 0, 0, 0, 0
1999, "AS", 156098, 1, 38.54536, 35998, 40.82310, 5364, 0, 0, 0, 0, 0
1999, "CO", 400014, 1, 52.19373, 68100, 54.52917, 8294, 0, 0, 0, 0, 0
1999, "DL", 914130, 1, 42.71597, 140340, 50.14853, 21743, 0, 0, 0, 0, 0
1999, "HP", 209496, 1, 45.09170, 46578, 50.14921, 5162, 0, 0, 0, 0, 0
1999, "NW", 537180, 1, 47.57704, 81156, 52.02911, 12505, 0, 0, 0, 0, 0
1999, "TW", 275830, 1, 50.40094, 44027, 51.87419, 5009, 0, 0, 0, 0, 0
1999, "UA", 774370, 1, 47.59866, 151607, 49.17611, 27359, 0, 0, 0, 0, 0
1999, "US", 714430, 1, 42.34250, 168100, 42.54959, 32309, 0, 0, 0, 0, 0
1999, "WN", 853683, 1, 41.96603, 167098, 41.62377, 7606, 0, 0, 0, 0, 0
2000, "AA", 742265, 1, 49.61907, 157439, 50.83354, 29677, 0, 0, 0, 0, 0
