año, destino, vuelos_totales,tiempo_atrasado_promedio_arribo, atrasos_totales_arribo, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, ABE, 6233, 1368, 39.65423, 214, 0, 0, 0, 0, 0
1998, ABQ, 36323, 7131, 44.36095, 319, 0, 0, 0, 0, 0
1998, ACK, 22, 15, 41.26666, 1, 0, 0, 0, 0, 0
1998, ADQ, 725, 200, 33.90500, 30, 0, 0, 0, 0, 0
1998, AGS, 1907, 418, 39.21052, 49, 0, 0, 0, 0, 0
1998, AKN, 431, 97, 34.85567, 12, 0, 0, 0, 0, 0
1998, ALB, 11280, 2494, 42.83440, 304, 0, 0, 0, 0, 0
1998, AMA, 4850, 1082, 43.86506, 47, 0, 0, 0, 0, 0
1998, ANC, 20545, 5800, 39.33724, 769, 0, 0, 0, 0, 0
1998, ATL, 255287, 57316, 41.98429, 5670, 0, 0, 0, 0, 0
1998, AUS, 39536, 7339, 42.57828, 668, 0, 0, 0, 0, 0
1998, AVL, 1783, 270, 39.51111, 46, 0, 0, 0, 0, 0
1998, AVP, 1795, 332, 39.07530, 45, 0, 0, 0, 0, 0
1998, AZO, 1560, 411, 38.11435, 123, 0, 0, 0, 0, 0
1998, BDL, 26446, 5663, 41.50520, 653, 0, 0, 0, 0, 0
1998, BET, 985, 194, 37.26288, 31, 0, 0, 0, 0, 0
1998, BFL, 240, 57, 50.28070, 1, 0, 0, 0, 0, 0
1998, BGM, 1046, 196, 36.84693, 31, 0, 0, 0, 0, 0
1998, BGR, 1095, 232, 42.53879, 17, 0, 0, 0, 0, 0
1998, BHM, 19492, 3559, 41.77999, 346, 0, 0, 0, 0, 0
1998, BIL, 2878, 735, 43.11156, 114, 0, 0, 0, 0, 0
1998, BIS, 1414, 395, 46.45316, 94, 0, 0, 0, 0, 0
1998, BNA, 51236, 8668, 45.37413, 767, 0, 0, 0, 0, 0
1998, BOI, 11658, 2209, 50.60434, 94, 0, 0, 0, 0, 0
1998, BOS, 98422, 27097, 44.49828, 4040, 0, 0, 0, 0, 0
1998, BRO, 363, 61, 43.81967, 7, 0, 0, 0, 0, 0
1998, BRW, 946, 208, 37.21153, 51, 0, 0, 0, 0, 0
1998, BTR, 4677, 833, 43.54381, 125, 0, 0, 0, 0, 0
1998, BTV, 2738, 812, 45.32142, 47, 0, 0, 0, 0, 0
1998, BUF, 18075, 4225, 45.08994, 557, 0, 0, 0, 0, 0
1998, BUR, 28094, 6509, 43.20878, 676, 0, 0, 0, 0, 0
1998, BWI, 69992, 13166, 46.68471, 1093, 0, 0, 0, 0, 0
1998, BZN, 1945, 508, 41.65944, 75, 0, 0, 0, 0, 0
1998, CAE, 5616, 1040, 42.24038, 94, 0, 0, 0, 0, 0
1998, CAK, 1075, 188, 34.57978, 28, 0, 0, 0, 0, 0
1998, CDV, 720, 181, 45.29281, 9, 0, 0, 0, 0, 0
1998, CHA, 1089, 209, 37.11961, 45, 0, 0, 0, 0, 0
1998, CHS, 7231, 1567, 41.71857, 86, 0, 0, 0, 0, 0
1998, CID, 5526, 1273, 39.80675, 303, 0, 0, 0, 0, 0
1998, CLE, 61070, 12130, 44.50420, 1432, 0, 0, 0, 0, 0
1998, CLT, 124970, 20419, 38.59532, 2958, 0, 0, 0, 0, 0
1998, CMH, 39734, 8925, 45.73904, 982, 0, 0, 0, 0, 0
1998, COS, 12237, 2756, 44.27467, 332, 0, 0, 0, 0, 0
