año, destino, vuelos_totales,tiempo_atrasado_promedio_salida, atrasos_totales_salida, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, ABE, 6236, 799, 44.39549, 229, 0, 0, 0, 0, 0
1998, ABQ, 36320, 5668, 46.09703, 361, 0, 0, 0, 0, 0
1998, ACK, 22, 6, 88.16666, 2, 0, 0, 0, 0, 0
1998, ADQ, 726, 141, 38.46808, 30, 0, 0, 0, 0, 0
1998, AGS, 1907, 288, 42.52777, 58, 0, 0, 0, 0, 0
1998, AKN, 431, 77, 37.42857, 12, 0, 0, 0, 0, 0
1998, ALB, 11276, 1607, 44.27442, 298, 0, 0, 0, 0, 0
1998, AMA, 4847, 678, 44.82005, 50, 0, 0, 0, 0, 0
1998, ANC, 20518, 3700, 40.81297, 716, 0, 0, 0, 0, 0
1998, ATL, 255380, 44216, 46.90580, 4940, 0, 0, 0, 0, 0
1998, AUS, 39533, 4818, 44.49937, 723, 0, 0, 0, 0, 0
1998, AVL, 1783, 160, 31.79375, 45, 0, 0, 0, 0, 0
1998, AVP, 1795, 155, 35.18064, 43, 0, 0, 0, 0, 0
1998, AZO, 1560, 323, 40.55727, 130, 0, 0, 0, 0, 0
1998, BDL, 26445, 3322, 44.35430, 699, 0, 0, 0, 0, 0
1998, BET, 984, 173, 39.23121, 33, 0, 0, 0, 0, 0
1998, BFL, 239, 12, 126.25000, 1, 0, 0, 0, 0, 0
1998, BGM, 1046, 140, 38.31428, 33, 0, 0, 0, 0, 0
1998, BGR, 1095, 51, 65.23529, 15, 0, 0, 0, 0, 0
1998, BHM, 19490, 2587, 45.68380, 360, 0, 0, 0, 0, 0
1998, BIL, 2878, 402, 47.43532, 114, 0, 0, 0, 0, 0
1998, BIS, 1413, 190, 35.22631, 98, 0, 0, 0, 0, 0
1998, BNA, 51217, 7247, 48.97198, 809, 0, 0, 0, 0, 0
1998, BOI, 11657, 1602, 51.60486, 120, 0, 0, 0, 0, 0
1998, BOS, 98415, 18454, 45.96661, 4195, 0, 0, 0, 0, 0
1998, BRO, 362, 28, 44.50000, 7, 0, 0, 0, 0, 0
1998, BRW, 946, 200, 39.41500, 63, 0, 0, 0, 0, 0
1998, BTR, 4679, 586, 45.75085, 140, 0, 0, 0, 0, 0
1998, BTV, 2738, 443, 48.42437, 57, 0, 0, 0, 0, 0
1998, BUF, 18068, 2710, 46.95166, 584, 0, 0, 0, 0, 0
1998, BUR, 28095, 5405, 44.21868, 674, 0, 0, 0, 0, 0
1998, BWI, 69983, 10415, 46.98204, 1064, 0, 0, 0, 0, 0
1998, BZN, 1944, 277, 47.71119, 81, 0, 0, 0, 0, 0
1998, CAE, 5616, 809, 63.78121, 102, 0, 0, 0, 0, 0
1998, CAK, 1075, 90, 36.54444, 30, 0, 0, 0, 0, 0
1998, CDV, 720, 141, 46.83687, 20, 0, 0, 0, 0, 0
1998, CHA, 1089, 100, 24.57000, 51, 0, 0, 0, 0, 0
1998, CHS, 7231, 1005, 45.01393, 98, 0, 0, 0, 0, 0
1998, CID, 5528, 792, 36.02398, 324, 0, 0, 0, 0, 0
1998, CLE, 61075, 8687, 47.87394, 1418, 0, 0, 0, 0, 0
1998, CLT, 124977, 21542, 41.60170, 2788, 0, 0, 0, 0, 0
1998, CMH, 39737, 6555, 47.97528, 1080, 0, 0, 0, 0, 0
1998, COS, 12235, 1564, 46.37915, 394, 0, 0, 0, 0, 0
1998, CRP, 3067, 448, 48.03571, 39, 0, 0, 0, 0, 0
1998, CRW, 1649, 235, 23.31063, 122, 0, 0, 0, 0, 0
1998, CVG, 80620, 9730, 52.02497, 1792, 0, 0, 0, 0, 0
1998, DAB, 2936, 344, 53.17732, 18, 0, 0, 0, 0, 0
1998, DAL, 48235, 9514, 35.87355, 1180, 0, 0, 0, 0, 0
1998, DAY, 10553, 1300, 42.70615, 304, 0, 0, 0, 0, 0
1998, DCA, 83901, 12226, 35.87829, 3573, 0, 0, 0, 0, 0
1998, DEN, 136349, 24284, 48.60146, 2347, 0, 0, 0, 0, 0
1998, DFW, 244013, 41360, 46.25009, 5498, 0, 0, 0, 0, 0
1998, DLG, 397, 81, 37.77777, 8, 0, 0, 0, 0, 0
1998, DLH, 1245, 282, 29.81560, 143, 0, 0, 0, 0, 0
1998, DRO, 110, 13, 50.46153, 1, 0, 0, 0, 0, 0
1998, DSM, 7023, 864, 55.12384, 159, 0, 0, 0, 0, 0
