fecha, vuelos_totales, atrasos_totales_arribo, tiempo_atrasado_porcentaje_arribo, atrasos_totales_salida, tiempo_atrasado_porcentaje_salida, vuelos_cancelados,vuelos_cancelados_porcentaje,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
24/12/1998,14180,7297,0.514598,7030,0.495769,812,0.0572638,0,0,0,0,0
15/12/1998,15245,1935,0.126927,1426,0.0935389,199,0.0130535,0,0,0,0,0
16/11/1998,15198,2704,0.177918,2160,0.142124,354,0.0232925,0,0,0,0,0
25/11/1998,15248,1593,0.104473,1294,0.0848636,56,0.00367261,0,0,0,0,0
26/10/1998,15172,1347,0.088782,1182,0.0779067,171,0.0112708,0,0,0,0,0
17/10/1998,13303,3573,0.268586,2693,0.202436,288,0.0216493,0,0,0,0,0
23/12/1998,15296,8701,0.568842,8118,0.530727,1327,0.0867547,0,0,0,0,0
14/12/1998,15168,1840,0.121308,1334,0.0879483,241,0.0158887,0,0,0,0,0
15/11/1998,14420,2097,0.145423,1856,0.12871,105,0.00728155,0,0,0,0,0
24/11/1998,15209,2102,0.138208,1660,0.109146,111,0.00729831,0,0,0,0,0
25/10/1998,14368,2180,0.151726,1994,0.138781,112,0.0077951,0,0,0,0,0
16/10/1998,15225,3211,0.210903,2513,0.165057,153,0.0100493,0,0,0,0,0
31/12/1998,13552,2953,0.217901,2670,0.197019,158,0.0116588,0,0,0,0,0
22/12/1998,15290,6756,0.441857,6034,0.394637,336,0.0219751,0,0,0,0,0
13/12/1998,14379,2456,0.170805,1943,0.135128,272,0.0189165,0,0,0,0,0
14/11/1998,13185,1377,0.104437,1189,0.0901782,199,0.0150929,0,0,0,0,0
23/11/1998,15201,2364,0.155516,1824,0.119992,285,0.0187488,0,0,0,0,0
24/10/1998,13232,1227,0.0927297,1157,0.0874395,187,0.0141324,0,0,0,0,0
15/10/1998,15203,2469,0.162402,1866,0.122739,192,0.0126291,0,0,0,0,0
30/12/1998,15174,5240,0.345328,4916,0.323975,332,0.0218795,0,0,0,0,0
21/12/1998,15275,5813,0.380556,4737,0.310115,452,0.0295908,0,0,0,0,0
12/12/1998,13191,1379,0.104541,1077,0.0816466,155,0.0117504,0,0,0,0,0
13/11/1998,15208,2137,0.140518,1736,0.11415,142,0.00933719,0,0,0,0,0
22/11/1998,14395,1211,0.0841264,1066,0.0740535,126,0.00875304,0,0,0,0,0
23/10/1998,15220,2554,0.167806,2201,0.144612,114,0.00749014,0,0,0,0,0
14/10/1998,15173,1780,0.117314,1390,0.0916101,188,0.0123904,0,0,0,0,0
20/12/1998,14475,5074,0.350535,4101,0.283316,270,0.0186528,0,0,0,0,0
