fecha,vuelos_totales,atrasos_totales_arribo,atrasos_totales_salida,vuelos_cancelados,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
24/12/1998,14180,7297,7030,812,0,0,0,0,0
15/12/1998,15245,1935,1426,199,0,0,0,0,0
16/11/1998,15198,2704,2160,354,0,0,0,0,0
25/11/1998,15248,1593,1294,56,0,0,0,0,0
26/10/1998,15172,1347,1182,171,0,0,0,0,0
17/10/1998,13303,3573,2693,288,0,0,0,0,0
23/12/1998,15296,8701,8118,1327,0,0,0,0,0
14/12/1998,15168,1840,1334,241,0,0,0,0,0
15/11/1998,14420,2097,1856,105,0,0,0,0,0
24/11/1998,15209,2102,1660,111,0,0,0,0,0
25/10/1998,14368,2180,1994,112,0,0,0,0,0
16/10/1998,15225,3211,2513,153,0,0,0,0,0
31/12/1998,13552,2953,2670,158,0,0,0,0,0
22/12/1998,15290,6756,6034,336,0,0,0,0,0
13/12/1998,14379,2456,1943,272,0,0,0,0,0
14/11/1998,13185,1377,1189,199,0,0,0,0,0
23/11/1998,15201,2364,1824,285,0,0,0,0,0
24/10/1998,13232,1227,1157,187,0,0,0,0,0
15/10/1998,15203,2469,1866,192,0,0,0,0,0
30/12/1998,15174,5240,4916,332,0,0,0,0,0
21/12/1998,15275,5813,4737,452,0,0,0,0,0
12/12/1998,13191,1379,1077,155,0,0,0,0,0
13/11/1998,15208,2137,1736,142,0,0,0,0,0
22/11/1998,14395,1211,1066,126,0,0,0,0,0
23/10/1998,15220,2554,2201,114,0,0,0,0,0
14/10/1998,15173,1780,1390,188,0,0,0,0,0
20/12/1998,14475,5074,4101,270,0,0,0,0,0
11/12/1998,15213,2736,2109,164,0,0,0,0,0
12/11/1998,15189,3137,2240,187,0,0,0,0,0
30/11/1998,15198,3637,3116,175,0,0,0,0,0
21/11/1998,13202,1346,1239,146,0,0,0,0,0
31/10/1998,13210,1396,1302,309,0,0,0,0,0
22/10/1998,15205,2519,1972,183,0,0,0,0,0
13/10/1998,15178,1437,1233,183,0,0,0,0,0
10/12/1998,15187,2846,2041,207,0,0,0,0,0
11/11/1998,15150,3242,2540,315,0,0,0,0,0
20/11/1998,15244,3468,2864,144,0,0,0,0,0
30/10/1998,15205,3210,2537,233,0,0,0,0,0
21/10/1998,15175,2403,1683,198,0,0,0,0,0
12/10/1998,15191,1814,1585,239,0,0,0,0,0
10/11/1998,15156,5014,3716,916,0,0,0,0,0
20/10/1998,15183,2266,1492,204,0,0,0,0,0
11/10/1998,14399,1725,1579,154,0,0,0,0,0
10/10/1998,13302,1388,1260,140,0,0,0,0,0
9/9/1998,15270,3309,3043,1720,0,0,0,0,0
8/9/1998,15326,3561,3199,1657,0,0,0,0,0
9/8/1998,14729,3979,3337,189,0,0,0,0,0
7/9/1998,14549,4088,3621,1607,0,0,0,0,0
8/8/1998,13900,2993,2696,234,0,0,0,0,0
9/7/1998,15302,2515,2145,286,0,0,0,0,0
6/9/1998,12487,2137,2075,1392,0,0,0,0,0
7/8/1998,15414,5295,4450,320,0,0,0,0,0
8/7/1998,15275,3155,2676,427,0,0,0,0,0
9/6/1998,15087,3192,2144,225,0,0,0,0,0
5/9/1998,12786,2275,2299,1416,0,0,0,0,0
6/8/1998,15374,4202,3226,294,0,0,0,0,0
7/7/1998,15277,4293,3549,396,0,0,0,0,0
8/6/1998,15107,2800,2067,212,0,0,0,0,0
9/5/1998,13230,2222,1765,258,0,0,0,0,0
4/9/1998,15424,4071,3956,1687,0,0,0,0,0
5/8/1998,15363,4329,3488,350,0,0,0,0,0
6/7/1998,15307,2637,2192,284,0,0,0,0,0
7/6/1998,14403,2360,1996,136,0,0,0,0,0
8/5/1998,15041,5465,4346,410,0,0,0,0,0
9/4/1998,15139,5596,4317,268,0,0,0,0,0
3/9/1998,15394,3728,3376,1746,0,0,0,0,0
4/8/1998,15352,4839,4093,635,0,0,0,0,0
5/7/1998,14493,1732,1682,186,0,0,0,0,0
6/6/1998,13494,1846,1598,209,0,0,0,0,0
7/5/1998,15013,6020,4807,516,0,0,0,0,0
8/4/1998,15122,4204,2902,255,0,0,0,0,0
9/3/1998,15184,6292,5320,1850,0,0,0,0,0
2/9/1998,15374,3811,3233,1829,0,0,0,0,0
3/8/1998,15372,2514,2058,350,0,0,0,0,0
4/7/1998,12583,1325,1176,266,0,0,0,0,0
5/6/1998,15126,4731,3810,280,0,0,0,0,0
6/5/1998,15005,5168,3865,601,0,0,0,0,0
7/4/1998,15120,2078,1483,267,0,0,0,0,0
8/3/1998,14367,5529,4499,496,0,0,0,0,0
9/2/1998,15088,3115,2489,477,0,0,0,0,0
1/9/1998,15381,3304,2964,1788,0,0,0,0,0
2/8/1998,14682,2174,2131,295,0,0,0,0,0
3/7/1998,13585,2148,1773,225,0,0,0,0,0
4/6/1998,15097,5326,4016,404,0,0,0,0,0
5/5/1998,15032,3447,2419,472,0,0,0,0,0
6/4/1998,15121,1932,1409,168,0,0,0,0,0
7/3/1998,13435,4090,3270,305,0,0,0,0,0
8/2/1998,14219,2697,2194,198,0,0,0,0,0
9/1/1998,15106,3666,2821,425,0,0,0,0,0
1/8/1998,13840,2003,2055,210,0,0,0,0,0
2/7/1998,15279,3122,2839,295,0,0,0,0,0
3/6/1998,15081,2999,2077,344,0,0,0,0,0
4/5/1998,15018,2847,2052,290,0,0,0,0,0
5/4/1998,14265,1672,1583,99,0,0,0,0,0
6/3/1998,15214,3651,2688,157,0,0,0,0,0
7/2/1998,13170,1926,1519,296,0,0,0,0,0
8/1/1998,15080,5760,4583,1323,0,0,0,0,0
1/7/1998,15235,3431,3247,392,0,0,0,0,0
2/6/1998,15107,2898,2019,474,0,0,0,0,0
3/5/1998,14241,3187,2446,155,0,0,0,0,0
4/4/1998,13352,1994,2012,213,0,0,0,0,0
5/3/1998,15193,2931,2036,177,0,0,0,0,0
6/2/1998,15114,3475,2652,414,0,0,0,0,0
7/1/1998,15094,5370,4143,707,0,0,0,0,0
1/6/1998,15053,2744,2444,413,0,0,0,0,0
2/5/1998,13227,2208,1836,240,0,0,0,0,0
3/4/1998,15193,4917,4257,398,0,0,0,0,0
4/3/1998,15163,2018,1485,242,0,0,0,0,0
5/2/1998,15100,4513,3399,865,0,0,0,0,0
6/1/1998,15103,6146,4851,1033,0,0,0,0,0
1/5/1998,15060,4304,3385,304,0,0,0,0,0
2/4/1998,15173,2839,2361,389,0,0,0,0,0
3/3/1998,15157,2013,1290,257,0,0,0,0,0
4/2/1998,15095,5177,3780,685,0,0,0,0,0
5/1/1998,15139,5262,4394,478,0,0,0,0,0
29/9/1998,15222,2405,1864,490,0,0,0,0,0
1/4/1998,15151,3411,2419,267,0,0,0,0,0
2/3/1998,15159,2012,1543,246,0,0,0,0,0
3/2/1998,15084,3552,2585,592,0,0,0,0,0
4/1/1998,14377,5171,4669,241,0,0,0,0,0
19/9/1998,13334,1770,1608,606,0,0,0,0,0
28/9/1998,15238,1668,1460,506,0,0,0,0,0
29/8/1998,13887,2384,2367,1542,0,0,0,0,0
1/3/1998,14334,2347,1936,117,0,0,0,0,0
2/2/1998,15088,3118,2171,432,0,0,0,0,0
3/1/1998,13415,3410,3244,217,0,0,0,0,0
18/9/1998,15266,3580,3247,903,0,0,0,0,0
27/9/1998,14419,3274,2779,501,0,0,0,0,0
19/8/1998,15366,2510,2049,349,0,0,0,0,0
28/8/1998,15397,2336,1973,422,0,0,0,0,0
29/7/1998,15274,3347,2692,439,0,0,0,0,0
1/2/1998,14218,2009,1740,208,0,0,0,0,0
2/1/1998,14219,2460,2176,148,0,0,0,0,0
17/9/1998,15251,3788,3265,1131,0,0,0,0,0
26/9/1998,13332,1805,1589,357,0,0,0,0,0
18/8/1998,15376,4701,3838,586,0,0,0,0,0
27/8/1998,15373,2084,1615,356,0,0,0,0,0
28/7/1998,15283,1967,1695,286,0,0,0,0,0
19/7/1998,14641,3608,3035,157,0,0,0,0,0
29/6/1998,15242,4460,3563,523,0,0,0,0,0
1/1/1998,13074,1522,1447,110,0,0,0,0,0
16/9/1998,15216,2753,2431,1221,0,0,0,0,0
25/9/1998,15256,4610,3991,812,0,0,0,0,0
17/8/1998,15382,4636,3687,459,0,0,0,0,0
26/8/1998,15360,2502,1823,452,0,0,0,0,0
27/7/1998,15290,2604,2276,283,0,0,0,0,0
18/7/1998,13810,2121,2042,221,0,0,0,0,0
28/6/1998,14535,3585,3395,292,0,0,0,0,0
19/6/1998,15262,6146,5777,688,0,0,0,0,0
29/5/1998,15037,4071,3047,313,0,0,0,0,0
15/9/1998,15236,3675,3204,1745,0,0,0,0,0
24/9/1998,15242,2847,2103,313,0,0,0,0,0
16/8/1998,14715,3419,2952,156,0,0,0,0,0
25/8/1998,15360,3552,2837,506,0,0,0,0,0
26/7/1998,14630,2695,2520,160,0,0,0,0,0
17/7/1998,15341,4452,3663,292,0,0,0,0,0
27/6/1998,13750,4803,4438,606,0,0,0,0,0
18/6/1998,15231,5484,4166,484,0,0,0,0,0
28/5/1998,14996,3414,2735,333,0,0,0,0,0
19/5/1998,15012,2816,2265,449,0,0,0,0,0
29/4/1998,15097,3171,2525,338,0,0,0,0,0
14/9/1998,15250,3142,2835,1660,0,0,0,0,0
23/9/1998,15214,1825,1431,251,0,0,0,0,0
15/8/1998,13886,2219,2128,160,0,0,0,0,0
24/8/1998,15365,4820,3878,779,0,0,0,0,0
25/7/1998,13804,2097,1951,215,0,0,0,0,0
16/7/1998,15303,3691,3011,295,0,0,0,0,0
26/6/1998,15273,5677,4862,679,0,0,0,0,0
17/6/1998,15201,3521,2728,447,0,0,0,0,0
27/5/1998,14978,2792,2243,308,0,0,0,0,0
18/5/1998,15019,2237,1944,306,0,0,0,0,0
28/4/1998,15091,2528,1961,330,0,0,0,0,0
19/4/1998,14343,3865,3307,155,0,0,0,0,0
29/3/1998,14368,2763,2191,79,0,0,0,0,0
22/9/1998,15220,2211,1532,338,0,0,0,0,0
13/9/1998,14429,2953,2849,1454,0,0,0,0,0
14/8/1998,15419,4339,3313,195,0,0,0,0,0
23/8/1998,14717,2421,2100,152,0,0,0,0,0
15/7/1998,15273,2440,2079,291,0,0,0,0,0
24/7/1998,15332,3574,3171,296,0,0,0,0,0
25/6/1998,15237,4343,3694,320,0,0,0,0,0
16/6/1998,15206,5277,4116,720,0,0,0,0,0
26/5/1998,15009,2012,1670,172,0,0,0,0,0
17/5/1998,14206,1990,1910,196,0,0,0,0,0
27/4/1998,15109,2328,1715,260,0,0,0,0,0
18/4/1998,13289,2326,1949,132,0,0,0,0,0
28/3/1998,13455,2243,1992,132,0,0,0,0,0
19/3/1998,15201,5486,4515,373,0,0,0,0,0
9/12/1998,15154,2026,1518,337,0,0,0,0,0
21/9/1998,15236,2620,2044,385,0,0,0,0,0
12/9/1998,13362,2256,2217,1353,0,0,0,0,0
30/9/1998,15192,2766,2056,302,0,0,0,0,0
22/8/1998,13887,2184,1849,216,0,0,0,0,0
13/8/1998,15380,3027,2419,204,0,0,0,0,0
31/8/1998,15374,3447,3125,1768,0,0,0,0,0
14/7/1998,15277,2469,1978,270,0,0,0,0,0
23/7/1998,15298,4516,3670,422,0,0,0,0,0
24/6/1998,15211,3491,2920,374,0,0,0,0,0
15/6/1998,15208,4226,3091,398,0,0,0,0,0
25/5/1998,14295,1901,1495,119,0,0,0,0,0
16/5/1998,13240,1883,1748,256,0,0,0,0,0
26/4/1998,14323,3726,2822,141,0,0,0,0,0
17/4/1998,15152,4157,3252,217,0,0,0,0,0
27/3/1998,15224,4028,3252,180,0,0,0,0,0
18/3/1998,15178,6183,5000,617,0,0,0,0,0
19/2/1998,15166,3767,2830,307,0,0,0,0,0
28/2/1998,13383,1992,1603,162,0,0,0,0,0
29/1/1998,15080,1908,1478,267,0,0,0,0,0
8/12/1998,15157,3791,2726,348,0,0,0,0,0
9/11/1998,15139,3350,2143,280,0,0,0,0,0
11/9/1998,15300,3981,3708,1656,0,0,0,0,0
20/9/1998,14426,3253,2709,375,0,0,0,0,0
21/8/1998,15406,2687,2310,212,0,0,0,0,0
