AnioInicial,MesInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,1,3,1,1.0521151403325721,1.0687080826973732,0.6966028187905074
1998,1,3,5,0.9361986098601545,0.39728955810769595,0.3823847607444279
1998,1,3,10,1.5032724590063233,0.31436835006732394,0.33677217952522526
1998,1,5,1,0.2082852208949317,0.49086168378913064,0.09669931835468848
1998,1,5,5,5.841708813202138,0.5544357726293987,1.02287675409778
1998,1,5,10,18.11916733139436,0.45726528111454623,0.9221424225563896
1998,1,10,1,0.3362088416272261,0.34165009890018677,0.4910887935334495
1998,1,10,5,2.3871167526286343,0.32926835781974423,0.358023437294062
1998,1,10,10,6.995366785739987,0.3507326791041447,0.3513339869975692
1998,1,20,1,0.3840887909996196,0.16842468892265927,0.41190806016267206
1998,1,20,5,0.3847613509780614,0.17410594307733618,0.38610984076223775
1998,1,20,10,0.30769542535037686,0.218227967227345,0.30171494207166916
1999,9,3,1,1.547057747753306,10.70289096347823,1.30564620786623
1999,9,3,5,2.10518263238232,21.183939609925375,1.1310283900405211
1999,9,3,10,2.8789112752400894,16.018493704591553,0.8868428860856787
1999,9,5,1,1.27580001500224,0.7317764438505531,3.9203790385075754
1999,9,5,5,3.4711287484390483,0.4186141984434963,2.2697433535860965
1999,9,5,10,12.363563443281379,0.8164830135393778,2.458764090879239
1999,9,10,1,0.4966349625203816,0.1525722940415945,0.13197453983462118
1999,9,10,5,2.3389806992539874,0.4402827207009062,0.40347282282453995
1999,9,10,10,4.947190506564615,0.5363766073536643,0.5036843213852726
1999,9,20,1,0.08207744104322615,0.45475888655701174,0.529997310759673
1999,9,20,5,0.7845153870848102,0.41699865592386137,0.3590852532191949
1999,9,20,10,1.0426402658961915,0.5132329074070809,0.5194200526608048
2001,5,3,1,2.1392042575102588,9.008385860821553,0.3436437232360921
2001,5,3,5,4.468262707728456,12.567434462788587,0.6507238018477023
2001,5,3,10,13.780395314543686,18.870638455097183,0.9540583362153341
2001,5,5,1,2.7410855669010434,2.1074448209649055,3.1680612405835884
2001,5,5,5,16.253664750258853,3.0182381422334768,5.879594507650986
2001,5,5,10,67.31619219828441,4.34264491084,9.919796678129963
2001,5,10,1,0.12468232280731306,0.07141021048787395,0.49135756215834264
2001,5,10,5,1.067109110058991,0.3778976022955568,0.5421268182222047
2001,5,10,10,4.405911013406238,0.37520275701774974,0.5235991140074235
2001,5,20,1,0.16668465025784052,0.02117701202193273,0.08449620857864712
2001,5,20,5,0.459115885697192,0.14377245812226302,0.2033950590052494
2001,5,20,10,1.0062931530788988,0.17308161752861748,0.26212113665665804
2003,1,3,1,1.5073684097163387,1.1849890523162199,0.1393634166993476
2003,1,3,5,13.539352736112368,2.305697979925366,0.48279006288592863
2003,1,3,10,36.62496473456359,2.892894457697459,0.5131854758818897
2003,1,5,1,1.6793073414543271,1.057931911623522,6.096197836646586
2003,1,5,5,24.39787568639599,2.8278436486776988,7.03880882694992
2003,1,5,10,99.67124413792938,3.405798543988295,6.901115101169074
2003,1,10,1,1.094505368336354,0.6361667158347666,0.1500792251333142
2003,1,10,5,3.402436316628128,0.5215190183663623,0.2255054803133116
2003,1,10,10,8.43802126461826,0.5561352627963055,0.22447642013971453
2003,1,20,1,0.47086152313983537,0.4072808023095126,0.8019439010110065
2003,1,20,5,0.400888621826778,0.2323208917196615,0.45619751731422153
2003,1,20,10,0.4816855701051448,0.25070123576565784,0.5477945130856264
