AnioInicial,MesInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,1,3,1,1.0521151403325721,1.0687080826973732,190782895654494.7
1998,1,3,5,0.9361986098601545,0.39728955810769595,137083352039313.97
1998,1,3,10,1.5032724590063233,0.31436835006732394,91623863593985.22
1998,1,5,1,0.2082852208949317,0.49086168378913064,207797907617575.16
1998,1,5,5,5.841708813202138,0.5544357726293987,204810070125073.97
1998,1,5,10,18.11916733139436,0.45726528111454623,147216493926837.6
1998,1,10,1,0.3362088416272261,0.34165009890018677,44976971655377.39
1998,1,10,5,2.3871167526286343,0.32926835781974423,32843709518955.176
1998,1,10,10,6.995366785739987,0.3507326791041447,26178994078067.33
1998,1,20,1,0.3840887909996196,0.16842468892265927,0.22213365364516116
1998,1,20,5,0.3847613509780614,0.17410594307733618,192678447171.8072
1998,1,20,10,0.30769542535037686,0.218227967227345,330667152880.00366
1999,9,3,1,1.547057747753306,10.70289096347823,6437057921459.599
1999,9,3,5,2.10518263238232,21.183939609925375,4244130907618.829
1999,9,3,10,2.8789112752400894,16.018493704591553,2495146236862.7563
1999,9,5,1,1.27580001500224,0.7317764438505531,43382324471821.44
1999,9,5,5,3.4711287484390483,0.4186141984434963,26192402888397.312
1999,9,5,10,12.363563443281379,0.8164830135393778,27034071990844.004
1999,9,10,1,0.4966349625203816,0.1525722940415945,9384023150231.396
1999,9,10,5,2.3389806992539874,0.4402827207009062,8731114081979.971
1999,9,10,10,4.947190506564615,0.5363766073536643,5403034140846.971
1999,9,20,1,0.08207744104322615,0.45475888655701174,0.5359998592893562
1999,9,20,5,0.7845153870848102,0.41699865592386137,2736326570060.7964
1999,9,20,10,1.0426402658961915,0.5132329074070809,4251004962198.9463
2001,5,3,1,2.1392042575102588,9.008385860821553,19031549802967.01
2001,5,3,5,4.468262707728456,12.567434462788587,9794590039978.44
2001,5,3,10,13.780395314543686,18.870638455097183,11538386129458.389
2001,5,5,1,2.7410855669010434,2.1074448209649055,3940801019080.286
2001,5,5,5,16.253664750258853,3.0182381422334768,4576861412076.921
2001,5,5,10,67.31619219828441,4.34264491084,4723934700988.694
2001,5,10,1,0.12468232280731306,0.07141021048787395,4170898362198.985
2001,5,10,5,1.067109110058991,0.3778976022955568,3880701149357.573
2001,5,10,10,4.405911013406238,0.37520275701774974,2709541650206.7666
2001,5,20,1,0.16668465025784052,0.02117701202193273,0.004340960815746222
2001,5,20,5,0.459115885697192,0.14377245812226302,759580764563.5876
2001,5,20,10,1.0062931530788988,0.17308161752861748,1390343532978.3315
2003,1,3,1,1.5073684097163387,1.1849890523162199,13135460859356.008
2003,1,3,5,13.539352736112368,2.305697979925366,20458959940770.05
2003,1,3,10,36.62496473456359,2.892894457697459,21437019845680.348
2003,1,5,1,1.6793073414543271,1.057931911623522,12256686243548.127
2003,1,5,5,24.39787568639599,2.8278436486776988,15167495219566.344
2003,1,5,10,99.67124413792938,3.405798543988295,13612733473658.725
2003,1,10,1,1.094505368336354,0.6361667158347666,15724849994795.068
2003,1,10,5,3.402436316628128,0.5215190183663623,12722206914663.248
2003,1,10,10,8.43802126461826,0.5561352627963055,8522428696672.868
2003,1,20,1,0.47086152313983537,0.4072808023095126,0.5307551620496773
2003,1,20,5,0.400888621826778,0.2323208917196615,831678900130.4587
2003,1,20,10,0.4816855701051448,0.25070123576565784,1522312615400.525
