anio,mes,vuelos_totales,atrasos_totales_arribo, tiempo_atrasado_promedio_arribo,atrasos_totales_salida, tiempo_atrasado_promedio_salida,vuelos_cancelados,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, 1, 452001, 108416, 42.66356, 86792, 45.28943, 13880, 0, 0, 0, 0, 0
1998, 2, 412832, 97415, 42.52466, 74970, 45.43183, 10484, 0, 0, 0, 0, 0
1998, 3, 459703, 106427, 44.23656, 86136, 46.83344, 9847, 0, 0, 0, 0, 0
1998, 4, 442644, 88231, 44.78384, 69334, 47.81981, 6952, 0, 0, 0, 0, 0
1998, 5, 449293, 96914, 47.01751, 77875, 49.64653, 9393, 0, 0, 0, 0, 0
1998, 6, 446427, 127573, 51.79679, 104799, 52.72974, 12870, 0, 0, 0, 0, 0
1998, 7, 462429, 93754, 45.93600, 80372, 48.31584, 9330, 0, 0, 0, 0, 0
1998, 8, 465910, 102945, 45.01706, 86267, 46.61438, 14726, 0, 0, 0, 0, 0
1998, 9, 443901, 90438, 30.17320, 79454, 31.19515, 32893, 0, 0, 0, 0, 0
1998, 10, 457954, 79759, 44.00920, 63999, 47.62208, 7815, 0, 0, 0, 0, 0
1998, 11, 436528, 69464, 41.79133, 56117, 46.75973, 6419, 0, 0, 0, 0, 0
1998, 12, 455099, 117268, 45.61199, 100028, 48.24659, 9900, 0, 0, 0, 0, 0
1999, 1, 453814, 142472, 46.12700, 122712, 46.62195, 26543, 0, 0, 0, 0, 0
1999, 2, 417627, 84521, 39.16017, 70959, 41.18899, 14523, 0, 0, 0, 0, 0
1999, 3, 466267, 97947, 44.04112, 82616, 46.11779, 12419, 0, 0, 0, 0, 0
1999, 4, 450620, 104886, 45.89582, 81100, 48.90168, 8923, 0, 0, 0, 0, 0
1999, 5, 462054, 105854, 48.86685, 83084, 50.76024, 11857, 0, 0, 0, 0, 0
1999, 6, 460467, 129310, 51.61024, 102690, 53.32763, 12676, 0, 0, 0, 0, 0
1999, 7, 474047, 132513, 51.23088, 108931, 52.66190, 14873, 0, 0, 0, 0, 0
1999, 8, 479549, 110087, 45.74483, 90340, 48.42016, 11711, 0, 0, 0, 0, 0
1999, 9, 460251, 91160, 39.26788, 73571, 42.31569, 15243, 0, 0, 0, 0, 0
1999, 10, 478294, 91094, 40.66122, 74625, 43.64688, 9751, 0, 0, 0, 0, 0
1999, 11, 454950, 80539, 41.89305, 68087, 45.77058, 7631, 0, 0, 0, 0, 0
1999, 12, 469944, 98838, 40.70132, 81611, 43.27780, 8161, 0, 0, 0, 0, 0
2000, 1, 470477, 119233, 38.81235, 98142, 39.56136, 24515, 0, 0, 0, 0, 0
2000, 2, 444499, 108045, 43.90243, 89871, 46.10922, 15188, 0, 0, 0, 0, 0
2000, 3, 482944, 106677, 45.89832, 88432, 48.70243, 10237, 0, 0, 0, 0, 0
2000, 4, 463263, 109581, 46.71575, 89488, 49.34105, 11642, 0, 0, 0, 0, 0
2000, 5, 478909, 119120, 50.21749, 99347, 51.80461, 16513, 0, 0, 0, 0, 0
2000, 6, 471100, 153855, 52.65036, 130734, 52.74269, 18632, 0, 0, 0, 0, 0
2000, 7, 483342, 138972, 51.65666, 119081, 53.37587, 15526, 0, 0, 0, 0, 0
2000, 8, 491366, 142808, 48.92293, 119772, 50.06369, 14991, 0, 0, 0, 0, 0
2000, 9, 463097, 97476, 44.99427, 79494, 46.47066, 10365, 0, 0, 0, 0, 0
2000, 10, 485761, 111662, 44.92311, 91780, 47.52636, 10369, 0, 0, 0, 0, 0
2000, 11, 467251, 122034, 44.07170, 101320, 46.16167, 10912, 0, 0, 0, 0, 0
2000, 12, 481038, 173896, 45.86376, 155135, 45.96797, 28600, 0, 0, 0, 0, 0
2001, 1, 529940, 125214, 40.46948, 107791, 42.17854, 19891, 0, 0, 0, 0, 0
2001, 2, 477824, 125813, 43.85002, 104492, 45.11773, 17448, 0, 0, 0, 0, 0
2001, 3, 531119, 126536, 42.65261, 110273, 44.47021, 17876, 0, 0, 0, 0, 0
2001, 4, 514187, 102092, 44.97630, 86537, 47.07180, 11414, 0, 0, 0, 0, 0
2001, 5, 529940, 94176, 42.17354, 77771, 44.34019, 9452, 0, 0, 0, 0, 0
2001, 6, 520230, 124547, 49.29669, 105937, 50.71348, 15509, 0, 0, 0, 0, 0
2001, 7, 538440, 113299, 46.89475, 97309, 48.86489, 11286, 0, 0, 0, 0, 0
2001, 8, 544351, 125045, 49.60020, 104907, 51.24626, 13318, 0, 0, 0, 0, 0
2001, 9, 490698, 156245, 19.86824, 151651, 19.80193, 99324, 0, 0, 0, 0, 0
2001, 10, 443796, 64141, 40.24365, 61435, 40.88530, 6850, 0, 0, 0, 0, 0
2001, 11, 417386, 60148, 41.10608, 51963, 43.32998, 4497, 0, 0, 0, 0, 0
2001, 12, 429869, 80670, 40.23736, 70882, 41.87868, 4333, 0, 0, 0, 0, 0
2002, 1, 436336, 78745, 41.37860, 62334, 42.72254, 7301, 0, 0, 0, 0, 0
2002, 2, 399535, 57710, 39.14001, 46325, 41.44995, 4323, 0, 0, 0, 0, 0
2002, 3, 447896, 91368, 42.61386, 74744, 44.66927, 6033, 0, 0, 0, 0, 0
2002, 4, 438141, 72542, 44.34541, 57050, 47.09868, 4513, 0, 0, 0, 0, 0
2002, 5, 450046, 73857, 44.62717, 58127, 46.35795, 4442, 0, 0, 0, 0, 0
2002, 6, 448333, 91733, 49.99699, 77556, 50.47564, 7666, 0, 0, 0, 0, 0
2002, 7, 465573, 90646, 47.95548, 77373, 49.39861, 6260, 0, 0, 0, 0, 0
2002, 8, 466764, 77293, 45.94040, 65368, 47.66705, 5339, 0, 0, 0, 0, 0
2002, 9, 429996, 49225, 43.47705, 40391, 45.78113, 3686, 0, 0, 0, 0, 0
2002, 10, 446590, 66952, 40.26980, 51738, 43.78769, 4549, 0, 0, 0, 0, 0
2002, 11, 415024, 58060, 41.58256, 44814, 45.20123, 3675, 0, 0, 0, 0, 0
2002, 12, 427125, 88515, 48.64810, 76025, 49.43126, 7356, 0, 0, 0, 0, 0
2003, 1, 552109, 87720, 43.45662, 70271, 44.57602, 8341, 0, 0, 0, 0, 0
2003, 2, 500206, 112812, 41.43223, 91260, 41.68156, 20001, 0, 0, 0, 0, 0
2003, 3, 559342, 93026, 43.69180, 73817, 45.29762, 9554, 0, 0, 0, 0, 0
2003, 4, 527303, 65894, 43.16597, 53543, 45.25818, 6334, 0, 0, 0, 0, 0
2003, 5, 533782, 76709, 46.02665, 58225, 48.86445, 4313, 0, 0, 0, 0, 0
2003, 6, 536496, 90091, 46.16496, 70841, 48.76911, 4161, 1208686, 283230, 1397132, 22524, 1321099
2003, 7, 558568, 108961, 51.97535, 87213, 53.23244, 7835, 1484555, 403858, 1942521, 8660, 1893563
2003, 8, 556984, 112401, 51.33855, 88727, 52.97041, 9109, 1506419, 441415, 2044125, 13214, 1833597
2003, 9, 527714, 72473, 43.55376, 55429, 44.91861, 7691, 836508, 160312, 1325991, 2957, 881329
2003, 10, 552370, 71056, 42.18413, 54581, 46.53459, 5091, 934084, 113669, 1077892, 11424, 922602
2003, 11, 528171, 99816, 45.20933, 74936, 48.15860, 7407, 1066186, 248936, 1921618, 5796, 1341494
2003, 12, 555495, 127523, 45.49809, 103253, 46.74669, 11632, 1531842, 335735, 2153278, 16088, 1849036
2004, 1, 583987, 141274, 45.48396, 112877, 46.59750, 17611, 1723185, 537786, 2310463, 15364, 1922724
2004, 2, 553876, 119329, 44.47954, 94033, 46.60242, 9481, 1331459, 364234, 1996455, 11295, 1685452
2004, 3, 601412, 107221, 45.77067, 86366, 48.43572, 7603, 1288518, 214701, 1787331, 8872, 1687536
2004, 4, 582970, 93920, 44.11564, 75399, 46.85884, 4485, 1161420, 191870, 1505284, 9601, 1349671
2004, 5, 594457, 127961, 53.96622, 102975, 54.74293, 10381, 1521686, 529168, 2665016, 8724, 2257148
2004, 6, 588792, 153213, 53.30671, 126360, 54.31840, 8796, 1946065, 702461, 2750596, 14876, 2843794
2004, 7, 614166, 141860, 52.74846, 121420, 53.54676, 10132, 1971727, 466874, 2437579, 14033, 2680464
2004, 8, 623107, 129752, 51.03614, 109797, 51.93075, 10163, 1718626, 471948, 2054527, 15655, 2444041
2004, 9, 585125, 90257, 40.42032, 78509, 41.57673, 17969, 1085339, 227281, 1266018, 23856, 1104313
2004, 10, 610037, 110090, 42.66104, 88942, 45.22199, 6695, 1308635, 319073, 1545249, 11628, 1599119
2004, 11, 584610, 116498, 48.48401, 98438, 50.73965, 7337, 1474893, 416112, 1862361, 18773, 1959762
2004, 12, 606731, 166154, 49.06354, 147397, 50.27617, 17104, 2301520, 595952, 2291475, 26542, 3032195
2005, 1, 594924, 164193, 45.86556, 140814, 46.34380, 25084, 2067784, 601992, 2373719, 13152, 2564397
2005, 2, 545332, 117112, 46.05481, 97539, 47.73330, 9505, 1492652, 315848, 1876506, 7289, 1778646
2005, 3, 617540, 136414, 49.37122, 118015, 50.71457, 10169, 1848181, 377667, 2209616, 22559, 2367218
2005, 4, 594492, 93610, 44.77753, 78603, 46.97300, 7532, 1335380, 242815, 1298076, 8652, 1379302
2005, 5, 614802, 95605, 46.99380, 81618, 48.90978, 5877, 1385037, 257587, 1385878, 5329, 1530562
2005, 6, 609195, 145437, 53.16684, 127072, 53.49767, 9916, 2065172, 494727, 2445503, 10144, 2801540
2005, 7, 627961, 176583, 57.71246, 156673, 57.22215, 13851, 2516919, 727936, 3128157, 13948, 3894650
2005, 8, 630904, 150821, 49.67897, 132298, 50.35885, 13452, 2164422, 507289, 2227201, 20258, 2661527
2005, 9, 574253, 94801, 41.96968, 81249, 42.89642, 11532, 1349963, 200089, 1238216, 6318, 1255912
2005, 10, 592712, 105853, 46.40633, 92831, 47.54313, 10475, 1381005, 287169, 1689471, 9160, 1624195
2005, 11, 566138, 107786, 47.54599, 90906, 49.00309, 5586, 1522750, 257998, 1797001, 5883, 1620211
2005, 12, 572343, 159100, 48.56832, 139326, 49.32797, 10751, 2312615, 442673, 2376853, 18353, 2679447
