Anio,Mes,Dia,otp
1998,1,1,11.354596909897506
1998,1,2,13.183992122661415
1998,1,3,14.940002790567881
1998,1,4,19.23965414824104
1998,1,5,25.52788844621514
1998,1,6,17.232445359728956
1998,1,7,21.91663931736134
1998,1,8,14.660404624277456
1998,1,9,20.375788310252908
1998,1,10,16.222456788494526
1998,1,11,18.63975458411769
1998,1,12,12.763435194942044
1998,1,13,15.568981542955783
1998,1,14,26.415344793256786
1998,1,15,35.93791456619793
1998,1,16,36.22482776894542
1998,1,17,13.497072465972169
1998,1,18,19.428591559219335
1998,1,19,14.207904350714049
1998,1,20,9.958823138739456
1998,1,21,18.987257764799576
1998,1,22,27.64737086400106
1998,1,23,28.34481388263346
1998,1,24,11.387832699619771
1998,1,25,10.387460373370905
1998,1,26,13.98552649050591
1998,1,27,12.524897092019652
1998,1,28,19.563918757467146
1998,1,29,11.226790450928382
1998,1,30,13.855581318317324
1998,1,31,10.956356736242885
1998,2,1,16.30213095154371
1998,2,2,17.527173913043477
1998,2,3,11.725707500494755
1998,2,4,17.135701575166415
1998,2,5,15.28691313222953
1998,2,6,16.273912755676175
1998,2,7,19.50716669939132
1998,2,8,14.660809154066204
1998,2,9,22.90880707688305
1998,2,10,24.511223750905142
1998,2,11,13.496568109820485
1998,2,12,14.59463033990213
1998,2,13,16.098123147843268
1998,2,14,16.424015009380863
1998,2,15,12.60560405519572
1998,2,16,31.00072997544628
1998,2,17,40.001980459466594
1998,2,18,24.547914466737065
1998,2,19,21.749307661875246
1998,2,20,19.361211722094172
1998,2,21,16.23216553372675
1998,2,22,21.456500488758554
1998,2,23,21.338083927157562
1998,2,24,25.03301201637396
1998,2,25,20.874620161183778
1998,2,26,21.246206623565115
1998,2,27,16.847826086956523
1998,2,28,13.431218710304117
1998,3,1,24.800596347372345
1998,3,2,20.342747281888094
1998,3,3,10.895955664049614
1998,3,4,30.191535575594024
1998,3,5,19.77740327224212
1998,3,6,16.829122737219016
1998,3,7,14.431358115568642
1998,3,8,14.8711943793911
1998,3,9,23.07392490580746
1998,3,10,15.013202565069784
1998,3,11,9.974238721183697
1998,3,12,13.048780487804878
1998,3,13,19.430205047318612
1998,3,14,17.557620817843866
1998,3,15,23.0943107525386
1998,3,16,22.634178465591045
1998,3,17,24.34097798866482
1998,3,18,36.8395045460535
1998,3,19,32.895862114334584
1998,3,20,34.15451320457233
1998,3,21,24.52219825983491
1998,3,22,23.63478260869565
1998,3,23,15.855666030157371
1998,3,24,12.2167325428195
1998,3,25,13.226380287257873
1998,3,26,22.11949726919787
1998,3,27,23.90961639516553
1998,3,28,15.737643998513564
1998,3,29,17.239699331848552
1998,3,30,17.52091705645958
1998,3,31,17.763635164545274
1998,4,1,34.22132572859428
1998,4,2,29.668764491553496
1998,4,3,11.551144232671636
1998,4,4,15.00149790293589
1998,4,5,16.31042748701558
1998,4,6,30.939921838775916
1998,4,7,9.93801160295637
1998,4,8,29.09067222511725
1998,4,9,26.02113589211618
1998,4,10,25.84
1998,4,11,11.590563668803277
1998,4,12,12.554269175108539
1998,4,13,18.320433948534763
1998,4,14,12.594308405029782
1998,4,15,21.41012909632572
1998,4,16,28.06402539850519
1998,4,17,24.44891763463569
1998,4,18,16.084731733012266
1998,4,19,25.001743010527782
1998,4,20,15.812107178299703
1998,4,21,12.042925278219396
1998,4,22,14.119634340222575
1998,4,23,22.477671187562024
1998,4,24,14.93665038933615
1998,4,25,9.41805315064368
1998,4,26,22.8583397332961
1998,4,27,13.379442716261831
1998,4,28,14.873103174077265
1998,4,29,18.864675101013447
1998,4,30,20.426081770591743
1998,5,1,31.891142083360855
1998,5,2,26.198675496688743
1998,5,3,16.346343710919502
1998,5,4,11.409043112513144
1998,5,5,19.511708355508247
1998,5,6,28.232844109480364
1998,5,7,11.778099772303872
1998,5,8,25.44099459740936
1998,5,9,17.88675113405287
1998,5,10,31.044481054365733
1998,5,11,13.610872864023223
1998,5,12,16.06058305496508
1998,5,13,14.78647330080866
1998,5,14,18.343116328708646
1998,5,15,26.357827476038338
1998,5,16,13.712235649546828
1998,5,17,13.726594396733775
1998,5,18,13.919035887875358
1998,5,19,16.92312816413536
1998,5,20,18.66208919405373
1998,5,21,25.406341593391954
1998,5,22,24.493321815403018
1998,5,23,13.432656973957501
1998,5,24,7.566634553628774
1998,5,25,11.878279118572928
1998,5,26,12.265973749083884
1998,5,27,16.807985044732273
1998,5,28,20.502133902373966
1998,5,29,23.668284897253443
1998,5,30,14.46065462242044
1998,5,31,24.005911746076432
1998,6,1,36.406674170694565
1998,6,2,20.269286754002913
1998,6,3,20.832785592217693
1998,6,4,11.047549765227167
1998,6,5,30.099966677774077
1998,6,6,12.761227212094264
1998,6,7,15.773828967139217
1998,6,8,24.15766879146611
1998,6,9,16.865540161768237
1998,6,10,22.23945614150881
1998,6,11,14.901250822909809
1998,6,12,28.2190635451505
1998,6,13,35.27926213307957
1998,6,14,25.03975662034156
1998,6,15,24.056417674907944
1998,6,16,30.885834538997763
1998,6,17,20.554568778369845
1998,6,18,31.678812947278576
1998,6,19,39.06106670161185
1998,6,20,26.004220637461795
1998,6,21,18.851272150589534
1998,6,22,25.139518088109774
1998,6,23,25.055884286653516
1998,6,24,21.073565183091183
1998,6,25,26.373301831069107
1998,6,26,34.5020624631703
1998,6,27,33.60363636363636
1998,6,28,24.011007911936705
1998,6,29,26.318724576827186
1998,6,30,37.85301458032313
1998,7,1,31.512521531734464
1998,7,2,13.078967350037965
1998,7,3,27.39114253814663
1998,7,4,11.77579365079365
1998,7,5,36.058749084127086
1998,7,6,15.121849614663612
1998,7,7,25.66603390718073
1998,7,8,31.61087323212664
1998,7,9,26.493229775242284
1998,7,10,12.764554625173073
1998,7,11,10.952127254737803
1998,7,12,15.335705343612045
1998,7,13,12.985865724381625
1998,7,14,14.554559141192643
1998,7,15,14.794081058076344
1998,7,16,21.897667124093314
1998,7,17,26.4487321556613
1998,7,18,15.072411296162201
1998,7,19,22.686291919950822
1998,7,20,23.541721161391578
1998,7,21,25.89998690928132
1998,7,22,23.932827026319234
1998,7,23,26.75513138972415
1998,7,24,21.99647795460475
1998,7,25,14.662416690814256
1998,7,26,17.822966507177032
1998,7,27,15.958142576847612
1998,7,28,11.980632074854414
1998,7,29,19.768888306926804
1998,7,30,25.392310710082384
1998,7,31,21.710912530167633
1998,8,1,34.29376657824934
1998,8,2,17.198818482312397
1998,8,3,34.899422287185914
1998,8,4,23.49556936913107
1998,8,5,32.61418788644372
1998,8,6,16.108426557225126
1998,8,7,19.086743044189852
1998,8,8,20.464028776978417
1998,8,9,22.054025838444474
1998,8,10,17.67105263157895
1998,8,11,22.506635004888953
1998,8,12,21.498317609025534
1998,8,13,17.70481144343303
1998,8,14,24.81354173422401
1998,8,15,15.652455710787844
1998,8,16,21.64797825348284
1998,8,17,27.054349239370694
1998,8,18,27.767299687825183
1998,8,19,14.834699986984251
1998,8,20,15.988693222431607
1998,8,21,16.217707386732442
1998,8,22,14.52077482537625
1998,8,23,15.359788000271795
1998,8,24,28.304588350146435
1998,8,25,20.797526041666668
1998,8,26,14.078776041666666
1998,8,27,12.03083327912574
1998,8,28,13.992985646554523
1998,8,29,17.105926405991216
1998,8,30,22.50356875807219
1998,8,31,21.373747886041368
1998,9,1,21.471600688468158
1998,9,2,18.571049840933192
1998,9,3,38.23761854583773
1998,9,4,32.73994319307748
1998,9,5,15.068027210884354
1998,9,6,17.684098893086762
1998,9,7,15.226767742778721
1998,9,8,24.83535881594134
1998,9,9,20.798952193844137
1998,9,10,24.344741509557906
1998,9,11,18.141885197172865
1998,9,12,11.69328230170252
1998,9,13,20.105343405641417
1998,9,14,19.59672131147541
1998,9,15,22.574822788133368
1998,9,16,17.034700315457414
1998,9,17,23.123073896793652
1998,9,18,22.36014673129831
1998,9,19,12.666866656667167
1998,9,20,20.664078746707332
1998,9,21,15.305854555001313
1998,9,22,12.296320630749014
1998,9,23,10.700670435125542
1998,9,24,16.23802650570791
1998,9,25,28.18890928159413
1998,9,26,12.728772877287728
1998,9,27,20.989666412372564
1998,9,28,10.26381414883843
1998,9,29,14.022467481277099
1998,9,30,15.870194839389152
1998,10,1,14.127224536160545
1998,10,2,22.753498242589032
1998,10,3,14.214619998681695
1998,10,4,13.276116400697331
1998,10,5,18.159712433042007
1998,10,6,29.370536895001322
1998,10,7,20.95374779829082
1998,10,8,28.77704854116577
1998,10,9,18.78970463029668
1998,10,10,9.953390467598858
1998,10,11,28.80047505938242
1998,10,12,16.089418581681702
1998,10,13,8.795625247068125
1998,10,14,10.446187306399526
1998,10,15,14.25705452871144
1998,10,16,18.798029556650246
1998,10,17,23.55107870405172
1998,10,18,21.180266444629474
1998,10,19,14.27396539246003
1998,10,20,12.375683330040177
1998,10,21,13.462932454695222
1998,10,22,14.768168365669188
1998,10,23,15.620893561103811
1998,10,24,9.008464328899636
1998,10,25,14.525334075723832
